hex,name,pinyin
#B4A992,百灵鸟灰,bailingniaohui
#F6DEAD,酪黄,laohuang
#F2E6CE,荔肉白,liroubai
#F8E0B0,淡肉色,danrouse
#393733,河豚灰,hetunhui
#835E1D,蜴蜊绿,yililv
#F8F4ED,汉白玉,hanbaiyu
#FCA104,橙皮黄,chengpihuang
#815F25,莱阳梨黄,laiyanglihuang
#FCA106,枇杷黄,pipahuang
#FFA60F,金叶黄,jinyehuang
#806332,苍黄,canghuang
#FBF2E3,粉白,fenbai
#FBA414,淡橘橙,danjucheng
#E4DFD7,珍珠灰,zhenzhuhui
#826B48,龟背黄,guibeihuang
#DAD4CB,浅灰,qianhui
#BBB5AC,铅灰,qianhui
#BBB5AC,中灰,zhonghui
#FF9900,雄黄,xionghuang
#FBB957,蜜黄,mihuang
#DC9123,风帆黄,fengfanhuang
#C09351,桂皮淡棕,guipidanzong
#F4A83A,金莺黄,jinyinghuang
#F7C173,肉色,rouse
#E7A23F,凋叶棕,diaoyezong
#533C1B,古铜绿,gutonglv
#F9E8D0,落英淡粉,luoyingdanfen
#DE9E44,软木黄,ruanmuhuang
#F9CB8B,瓜瓤粉,guarangfen
#F9A633,榴萼黄,liuehuang
#DAA45A,玳瑁黄,daimaohuang
#553B18,焦茶绿,jiaochalv
#513C20,蟹壳绿,xiekelv
#986524,山鸡褐,shanjihe
#97846C,猴毛灰,houmaohui
#E3BD8D,鹿角棕,lujiaozong
#4D4030,淡松烟,dansongyan
#FB8B05,万寿菊黄,wanshoujuhuang
#F8C387,蛋壳黄,dankehuang
#F28E16,杏黄,xinghuang
#503E2A,橄榄灰,ganlanhui
#4A4035,鹤灰,hehui
#CFCCC9,玛瑙灰,manaohui
#C1B2A3,淡银灰,danyinhui
#867E76,瓦灰,wahui
#847C74,夜灰,yehui
#FC8C23,北瓜黄,beiguahuang
#FBECDE,荷花白,hehuabai
#4F4032,松鼠灰,songshuhui
#FBEEE2,淡米粉,danmifen
#81776E,深灰,shenhui
#9A8878,海鸥灰,haiouhui
#5D3D21,茶褐,chahe
#66462A,驼色,tuose
#918072,银灰,yinhui
#D99156,鹿皮褐,lupihe
#C1651A,槟榔综,binglangzong
#D4C4B7,晓灰,xiaohui
#BE7E4A,淡赭,danzhe
#5C3719,古铜褐,gutonghe
#DE7622,麂棕,jizong
#DB8540,醉瓜肉,zuiguarou
#80766E,雁灰,yanhui
#F09C5A,鲑鱼红,guiyuhong
#F97D1C,橘橙,jucheng
#F26B1F,金黄,jinhuang
#F8B37F,玫瑰粉,meiguifen
#FA7E23,美人焦橙,meirenjiaocheng
#F9E9CD,米色,mise
#B7A091,蛛网灰,zhuwanghui
#945833,淡咖啡,dankafei
#F0945D,海螺橙,hailuocheng
#964D22,岩石棕,yanshizong
#954416,芒果棕,mangguozong
#E16723,陶瓷红,taocihong
#FC7930,菠萝红,boluohong
#CF7543,余烬红,yujinhong
#F86B1D,金莲花橙,jinlianhuacheng
#CD6227,火砖红,huozhuanhong
#F6DCCE,初桃粉红,chutaofenhong
#D85916,铁棕,tiezong
#F7CFBA,介壳淡粉红,jieqiaodanfenhong
#F27635,蟹壳红,xiekehong
#E46828,金驼,jintuo
#FC6315,燕颔红,yanhanhong
#B7511D,淡可可棕,dankekezong
#EA8958,晨曦红,chenxihong
#E8B49A,玉粉红,yufenhong
#FB9968,野蔷薇红,yeqiangweihong
#EDC3AE,藕荷,ouhe
#363433,长石灰,changshihui
#8B614D,中红灰,zhonghonghui
#AA6A4C,火泥棕,huonizong
#AA6A4C,绀红,ganhong
#FA5D19,莓酱红,meijianghong
#71361D,丁香棕,dingxiangzong
#B89485,淡玫瑰灰,danmeiguihui
#F68C60,瓜瓤红,guaranghong
#F6AD8F,淡藏花红,dancanghuahong
#732E12,筍皮棕,sunpizong
#F7CDBC,润红,runhong
#EF632B,龙睛鱼红,longjingyuhong
#8C4B31,淡土黄,dantuhuang
#64483D,珠母灰,zhumuhui
#F9723D,芙蓉红,furonghong
#CF4813,落霞红,luoxiahong
#EE8055,法螺红,faluohong
#F8EBE6,草珠红,caozhuhong
#753117,咖啡,kafei
#603D30,中灰驼,zhonghuituo
#883A1E,椰壳棕,yekezong
#B14B28,蟹蝥红,xiemaohong
#873D24,淡豆沙,dandousha
#F6CEC1,淡桃红,dantaohong
#5B423A,淡铁灰,dantiehui
#624941,石板灰,shibanhui
#673424,淡栗棕,danlizong
#F43E06,银朱,yinzhu
#EF6F48,草莓红,caomeihong
#F4C7BA,洋水仙红,yangshuixianhong
#ED5126,朱红,zhuhong
#F34718,榴花红,liuhuahong
#F2481B,柿红,shihong
#652B1C,可可棕,kekezong
#EEA08C,淡罂粟红,danyingsuhong
#F04B22,大红,dahong
#692A1B,柞叶棕,zhayezong
#F1441D,蜻蜓红,qingtinghong
#773D31,橡树棕,xiangshuzong
#EEAA9C,颊红,jiahong
#F0ADA0,桃红,taohong
#863020,火岩棕,huoyanzong
#F2E7E5,淡藤萝紫,dantengluozi
#862617,赭石,zheshi
#F5391C,铁水红,tieshuihong
#F03F24,胭脂红,yanzhihong
#F33B1F,极光红,jiguanghong
#F23E23,红汞红,honggonghong
#F13C22,萝卜红,luobohong
#F05A46,曲红,quhong
#F17666,谷鞘红,guqiaohong
#F15642,苹果红,pingguohong
#F25A47,桂红,guihong
#F2B9B2,粉红,fenhong
#592620,暗驼棕,antuozong
#DE2A18,夕阳红,xiyanghong
#ED3321,樱桃红,yingtaohong
#F04A3A,珊瑚红,shanhuhong
#482522,火山棕,huoshanzong
#5C1E19,栗棕,lizong
#D42517,鹤顶红,hedinghong
#F19790,舌红,shehong
#AB372F,鹅血石红,exueshihong
#5A1F1B,酱棕,jiangzong
#ED3B2F,鱼鳃红,yusaihong
#BDAEAD,芦穗灰,lusuihui
#EB261A,丽春红,lichunhong
#AC1F18,覆盆子红,fupenzihong
#483332,海报灰,haibaohui
#481E1C,豆沙,dousha
#F1908C,榴子红,liuzihong
#EC2B24,秋海棠红,qiuhaitanghong
#EFAFAD,无花果红,wuhuaguohong
#F2CAC9,淡绯,danfei
#4B2E2B,玫瑰灰,meiguihui
#ED4845,淡菽红,danshuhong
#ED3333,枸枢红,goushuhong
#5D3131,貂紫,diaozi
