name,oriname,angle,hex
丛林日常,"jungle everyday",⭧,"#8baaaa,#ae8b9c"
蓝紫梅花,"fuchsia plum",⭨,"#667eea,#764ba2"
深秋静寂,"october silence",⭦,"#b721ff,#21d4fd"
魔法实验室,"alchemist lab",⭦,"#6e45e2,#88d3ce"
火星派对,"mars party",⭦,"#5f72bd,#9b23ea"
温馨如梦,"sweet dream",⭦,"#dcb0ed,#9495c9"
新的回归,"new regression",⭡,"#243DFF,#9473F7,#FFB0AB"
红梅花海,"plum blossom sea",⭡,"#cc208e,#6713d2"
靛蓝染料,"indigo dyes",⭡,"#b224ef,#7579ff"
奇迹之光,"miracle light",⭢,"#00dbde,#a9519b"
坚强意志,"strong will",⭢,"#a8caba,#5d4157"
舞裙翩翩,"dance skirt",⭨,"#a8bfff,#884d80"
优雅至美,"elegant and beautiful",⭦,"#5b55a2,#7266ac,#5f3791"
极光之旅,"aurora tour",⭠,"#ec77ab,#7873f5"
陌上花开,"season is coming",⭨,"#b6ceeb,#f578dc"
午夜情话,"night call",⭦,"#6636FF,#3D33FF,#243BFF"
甜蜜点心,"sweet dessert",⭦,"#E070FF,#B875FF,#5230FF"
神秘深潭,"mysterious lakes",⭦,"#2e7fb8,#522a76,#F02BFF"
炫彩舞台,"colorful stage",⭦,"#e62475,#831786,#2e2b62"
温柔的怀抱,"soft cherish",⭡,"#dbdbd7,#dfc7ca,#da5f78,#ae2656,#802259,#3c1533,#1a1a27"
冰与火,"ice and fire",⭦,"#e62475,#6e60a8,#53b8e9"
红色梦想,"red dream",⭡,"#f43b47,#453a94"
甜蜜时期,"sweet period",⭡,"#3a4ea0,#5352a1,#745aa2,#8865a4,#a066a2,#c36687,#e57e6e,#eaa068,#f0c476"
绚丽世界,"beautiful world",⭡,"#f3c2d9,#f39d4c,#ed747e,#bd6596,#674498,#003592,#1e2c58"
日落传说,"fabled sunset",⭨,"#f2eb34,#e6235e,#3c2868,#22274b"
