on,en,cn,src,cpt,ver,num,rsrc
ソウルイーター,Soul Eater,噬魂师,[Moozzi2] Soul Eater BD-BOX - TV + SP,op,nc,01,https://steamcommunity.com/sharedfiles/filedetails/?id=1861634428
,,,,op,nc,02,https://steamcommunity.com/sharedfiles/filedetails/?id=1861637655
,,,,ed,nc,04,https://steamcommunity.com/sharedfiles/filedetails/?id=1861638846
あの夏で待ってる,Waiting in the Summer,在盛夏等待,[ANK-Raws] あの夏で待ってる (BDrip 1920x1080 HEVC-YUV420P10 FLAC),op,nc,,https://steamcommunity.com/sharedfiles/filedetails/?id=1865784384
,,,,ed,nc,,https://steamcommunity.com/sharedfiles/filedetails/?id=1865785958
Fate/Zero,,,[BDMV][120919][Fate Zero][Blu-ray Disc BOX 2][DISC3&5],ed,nc,02,https://steamcommunity.com/sharedfiles/filedetails/?id=1458061463
UN-GO,,UN-GO因果论,UN-GO [BD] [1080p],op,nc,,https://steamcommunity.com/sharedfiles/filedetails/?id=1308561903
,,,,ed,nc,,https://steamcommunity.com/sharedfiles/filedetails/?id=1308583364
輪るピングドラム,Mawaru Penguindrum,回转企鹅罐,Mawaru Penguindrum,op,nc,01,https://steamcommunity.com/sharedfiles/filedetails/?id=1450309260
,,,,op,nc,02,https://steamcommunity.com/sharedfiles/filedetails/?id=1450329204
,,,,ed,nc,01,https://steamcommunity.com/sharedfiles/filedetails/?id=1450342273
,,,,ed,nc,02,https://steamcommunity.com/sharedfiles/filedetails/?id=1450352178
未来日記,Future Diary,未来日记,[Moozzi2] Mirai Nikki - TV + OVA,op,nc,01,https://steamcommunity.com/sharedfiles/filedetails/?id=2381205821
,,,,ed,nc,02,https://steamcommunity.com/sharedfiles/filedetails/?id=2381208607
Another,,,[Moozzi2] Another - TV + OAD,op,nc,,https://steamcommunity.com/sharedfiles/filedetails/?id=1865781901
神様ドォルズ,Kamisama Dolls,神样DOLLS,[Yousei-raws] Kamisama Dolls [BDrip 1920x1080 x264 FLAC],op,nc,02,https://steamcommunity.com/sharedfiles/filedetails/?id=1865820721
あの日見た花の名前を僕達はまだ知らない。,Anohana,未闻花名,[Moozzi2] Anohana BD-BOX - TV + SP,ed,nc,01,https://steamcommunity.com/sharedfiles/filedetails/?id=2428345479
,,,,ed,nc,02,https://steamcommunity.com/sharedfiles/filedetails/?id=2428351276
,,,,op,nc,01,https://steamcommunity.com/sharedfiles/filedetails/?id=2428342889
,,,,op,nc,02,https://steamcommunity.com/sharedfiles/filedetails/?id=2428344045
学園黙示録,HIGHSCHOOL OF THE DEAD,学园默示录,Highschool.of.the.Dead.S01.v2.1080p-Hi10p.BluRay.FLAC5.1.x264-CTR,op,,,https://steamcommunity.com/sharedfiles/filedetails/?id=1448779914
